id_pub,name_pub,phone_pub,address_pub,covers
81,DYNO,(960) 424-2262,845-Tech Place-Glenshaw-Wisconsin-3574,49
82,QUIZKA,(846) 534-2334,547-Thatford Avenue-Inkerman-Kansas-3585,37
83,OLUCORE,(842) 557-3690,146-Trucklemans Lane-Glenville-New Mexico-4296,42
84,DANCERITY,(899) 498-2931,296-Guernsey Street-Cavalero-Mississippi-5739,35
85,BULLZONE,(930) 558-2352,175-Vanderbilt Avenue-Marenisco-Hawaii-8442,39
86,GEEKNET,(900) 576-2527,744-Canda Avenue-Dennard-Palau-2987,17
87,PHEAST,(837) 433-2078,888-Vandervoort Avenue-Thermal-American Samoa-2840,28
88,OPPORTECH,(875) 443-3585,682-Ashland Place-Ryderwood-Northern Mariana Islands-9637,19
89,JASPER,(850) 572-3884,707-Louisa Street-Northridge-Wyoming-1459,18
90,CALLFLEX,(894) 461-2080,460-Himrod Street-Belmont-Minnesota-4176,10
91,QUONATA,(907) 497-2692,549-Stillwell Place-Guthrie-Florida-7171,35
92,GINKLE,(898) 413-3090,187-Lloyd Court-Franklin-Iowa-6716,27
93,NURALI,(869) 536-3480,365-Quentin Street-Rodman-Michigan-1393,18
94,PUSHCART,(997) 511-3316,762-Cass Place-Echo-Ohio-401,34
95,VERBUS,(810) 538-2946,809-Balfour Place-Siglerville-North Carolina-1201,14
96,ACCRUEX,(874) 421-3897,450-Beaumont Street-Stevens-Maine-6497,25
97,BUGSALL,(808) 479-2098,490-Cyrus Avenue-Jeff-Oregon-6870,14
98,XLEEN,(890) 539-3541,257-Catherine Street-Caledonia-Arkansas-4973,40
99,CALCU,(829) 576-2298,323-Fountain Avenue-Seymour-Kentucky-2623,17
100,ROCKLOGIC,(912) 541-3774,530-Townsend Street-Rew-Alaska-2028,26
